count,likes_component,mean_comments_component,influence,scores_component,mean_likes,mean_comments
1,0.0424382259,0.0019860973,10.9242660011,0.1087984168,4.0,3.0
1,0.0706194395,0.0089374379,9.4648401744,0.093852833,40.0,10.0
1,0.0455607018,0.0,8.2411555532,0.0819559485,8.0,1.0
1,0.0408779567,0.002979146,53.9336252996,0.538897682,2.0,4.0
1,0.0761167536,0.0049652433,7.4471423183,0.0736606032,47.0,6.0
2,0.5952492392,0.0317775571,9.3699719484,0.0874294515,536.0,33.0
1,0.0439991471,0.0,9.3267106792,0.0928271153,6.0,1.0
1,0.0518129147,0.0009930487,8.608272567,0.085554666,16.0,2.0
1,0.0393183588,0.0,10.5117654539,0.104724471,0.0,1.0
1,0.0439991471,0.0009930487,9.7601998928,0.097152077,6.0,2.0
2,0.129244876,0.0153922542,9.704402806,0.0955976568,106.5,16.5
1,0.1068233076,0.0089374379,12.5599507492,0.1244419,86.0,10.0
1,0.0424382259,0.0009930487,7.9185760422,0.0787514477,4.0,2.0
2,0.0217104904,0.0,46.3743892948,0.463526788,6.0,1.0
1,0.0957865797,0.0089374379,9.3175158074,0.0921279179,72.0,10.0
1,0.067480384,0.0,8.2757576023,0.0820827722,36.0,1.0
1,0.0416580086,0.0069513406,10.9134185961,0.1086480925,3.0,8.0
1,0.0439991471,0.0,8.200213337,0.0815621419,6.0,1.0
1,0.1502988016,0.0089374379,8.7294588286,0.0857022259,141.0,10.0
1,0.0424382259,0.0,10.2756873366,0.1023324911,4.0,1.0
1,0.354837237,0.0139026812,7.6150391954,0.0724629928,398.0,15.0
1,0.1931216158,0.0089374379,10.9716562032,0.1076959715,195.0,10.0
1,0.0408779567,0.0009930487,42.9612225091,0.429193515,2.0,2.0
1,0.1645601203,0.0089374379,10.4323058838,0.1025880833,159.0,10.0
1,0.0447798464,0.002979146,9.759258632,0.0971149964,7.0,4.0
1,0.0471228723,0.0009930487,11.9113605006,0.1186324458,10.0,2.0
1,0.065911504,0.0069513406,8.8632207104,0.0879035787,34.0,8.0
1,0.2742634235,0.0139026812,9.8996962078,0.096115301,297.0,15.0
